id,titulo,preco,marca,modelo,km,ano,tipo,pot_motor,kit_gnv,cor,combustivel,portas,cambio,direcao,municipio,url
384,hyundai tucson 2.0 16v flex aut. 2016 - 1334332825 | olx,59900.0,hyundai,hyundai tucson 2.0 16v flex aut.,104000,2016,suv,2.0 - 2.9,0,preto,flex,4.0,automático,hidráulica,brasília,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/tucson-automatica-2016-muito-nova-1334332825
385,mercedes-benz classe b 200 cgi 1.6 tb sport 156cv aut 2015 - 1362196131 | olx,75000.0,mercedes-benz,mercedes-benz classe b 200 cgi 1.6 tb sport 156cv aut,11500,2015,hatch,1.6,0,preto,gasolina,4.0,automático,elétrica,campinas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/mercedes-benz-b200cgi-sport-1-6-turbo-1362196131
386,fiat brava elx  1.6 16v 4p 2000 - 1362196132 | olx,8000.0,fiat,fiat brava elx  1.6 16v 4p,380000,2000,hatch,1.6,0,cinza,gasolina,4.0,manual,hidráulica,brusque,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/fiat-brava-1-6-16-1362196132
387,chevrolet rs 1.2 turbo 12v flex aut. 2024 - 1362196114 | olx,136000.0,chevrolet,chevrolet rs 1.2 turbo 12v flex aut.,38000,2024,suv,1.2,0,branco,flex,4.0,automático,elétrica,parnamirim,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/tracker-rs-2024-1362196114
388,fiat palio 1.0 economy fire flex 8v 4p 2011 - 1362196104 | olx,27000.0,fiat,fiat palio 1.0 economy fire flex 8v 4p,160000,2011,hatch,1.0,0,prata,flex,4.0,manual,mecânica,mandaguaçu,https://pr.olx.com.br/regiao-de-maringa/autos-e-pecas/carros-vans-e-utilitarios/palio-2011-basico-1362196104
389,ford ecosport xls 1.6/ 1.6 flex 8v 5p 2005 - 1362196074 | olx,25990.0,ford,ford ecosport xls 1.6/ 1.6 flex 8v 5p,128000,2005,hidráulica,1.6,0,preto,gasolina,4.0,manual,hidráulica,canoas,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-1-6-xls-8v-gasolina-4p-manual-1362196074
390,chevrolet corsa wind 1.0 mpfi / efi  2p 1995 - 1362196043 | olx,8500.0,chevrolet,chevrolet corsa wind 1.0 mpfi / efi  2p,101010,1995,mecânica,1.0,0,branco,gasolina,2.0,,mecânica,são cristóvão,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/corsa-wind-95-1362196043
391,honda civic sedan ex 1.7 16v 130cv aut. 4p 2002 - 1362196031 | olx,21000.0,honda,honda civic sedan ex 1.7 16v 130cv aut. 4p,110000,2002,sedã,1.7,0,azul,gasolina,4.0,automático,hidráulica,pombos,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/carro-honda-civic-1362196031
392,volkswagen fox city 1.0 mi/ 1.0mi total flex 8v 5p 2005 - 1362195976 | olx,21000.0,volkswagen,volkswagen fox city 1.0 mi/ 1.0mi total flex 8v 5p,155000,2005,hatch,1.0,0,prata,flex,4.0,manual,hidráulica,mata de são joão,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fox-1-0-1362195976
393,ford ka 1.5 se 12v flex 5p aut. 2020 - 1362195962 | olx,54900.0,ford,ford ka 1.5 se 12v flex 5p aut.,60000,2020,elétrica,,0,branco,flex,,automático,elétrica,belo horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-plus-at1-5hac-branca-2019-2020-1362195962
394,volkswagen saveiro robust 1.6 total flex 16v 2022 - 1321154210 | olx,67900.0,volkswagen,volkswagen saveiro robust 1.6 total flex 16v,70000,2022,hidráulica,,0,branco,flex,2.0,manual,hidráulica,são josé,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-robust-1-6-total-flex-8v-branca-2021-2022-1321154210
395,chevrolet hatch 1.0 12v tb flex aut. 4p 2020 - 1355641053 | olx,69500.0,chevrolet,chevrolet hatch 1.0 12v tb flex aut. 4p,32500,2020,hatch,1.0,0,preto,flex,4.0,automático,elétrica,ribeirão preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/novo-onix-automatico-2020-unico-dono-32mil-km-1355641053
396,bmw 320ia 2.0 tb m sport activeflex 16v 4p 2020 - 1355040564 | olx,190000.0,bmw,bmw 320ia 2.0 tb m sport activeflex 16v 4p,110000,2020,sedã,2.0 - 2.9,0,branco,gasolina,4.0,automático,hidráulica,barra velha,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/bmw-320-m-sport-1355040564
397,hyundai hb20 sense 1.0 12v flex mec. 2023 - 1362195917 | olx,66080.0,hyundai,hyundai hb20 sense 1.0 12v flex mec.,61927,2023,elétrica,1.0,0,branco,flex,4.0,manual,elétrica,são paulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-sense-1-0-flex-1362195917
398,peugeot 208 allure 1.0 tubo flex 5p aut. 2023 - 1362195920 | olx,66030.0,peugeot,peugeot 208 allure 1.0 tubo flex 5p aut.,47340,2023,elétrica,1.0,0,prata,flex,4.0,manual,elétrica,belo horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208-like-1-0-flex-1362195920
399,renault sandero s edition flex 1.0 12v 5p mec. 2023 - 1362195902 | olx,69900.0,renault,renault sandero s edition flex 1.0 12v 5p mec.,26279,2023,hatch,,0,branco,flex,4.0,manual,hidráulica,ribeirão preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-stepway-zen-flex-1-6-16v-mec-1362195902
400,toyota rav4 2.4 4x4 16v 170cv aut. 2010 - 1362195907 | olx,53200.0,toyota,toyota rav4 2.4 4x4 16v 170cv aut.,183001,2010,suv,2.0 - 2.9,0,prata,gasolina,4.0,automático,elétrica,osasco,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-rav4-2010-53mil-1362195907
401,nissan frontier le cd 4x4 2.3 bi-tb diesel aut. 2018 - 1362195869 | olx,137900.0,nissan,nissan frontier le cd 4x4 2.3 bi-tb diesel aut.,117000,2018,pick-up,2.0 - 2.9,0,branco,diesel,4.0,automático,elétrica,joão pessoa,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/nissan-frontier-le-cd-4x4-2-3-bi-tb-diesel-aut-1362195869
402,toyota corolla gli 1.8 flex 16v  aut. 2018 - 1362195877 | olx,75000.0,toyota,toyota corolla gli 1.8 flex 16v  aut.,92000,2018,conversível,1.8,0,branco,flex,,automático,elétrica,contagem,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/r-75-000-corolla-2018-carro-novo-1362195877
403,lifan foison 1.3 16v 85cv 2p 2014 - 1362195838 | olx,10000.0,lifan,lifan foison 1.3 16v 85cv 2p,120000,2014,pick-up,1.3,0,cinza,gasolina,2.0,manual,elétrica,belém,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/vendo-camionete-lifan-foison-1362195838
404,volkswagen nivus highline 1.0 200 tsi flex aut 2022 - 1359943177 | olx,114900.0,volkswagen,volkswagen nivus highline 1.0 200 tsi flex aut,37514,2022,,1.0,0,cinza,flex,4.0,automático,,belo horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-nivus-1-0-200-tsi-total-flex-highline-automatico-1359943177
405,fiat mobi like 1.0 fire flex 5p. 2024 - 1358481409 | olx,56790.0,fiat,fiat mobi like 1.0 fire flex 5p.,60695,2024,hatch,1.0,0,branco,flex,4.0,manual,hidráulica,osasco,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-2024-1-0-evo-flex-like-manual-1358481409
406,chevrolet tracker premier 1.2 turbo 12v flex aut 2023 - 1358662492 | olx,125390.0,chevrolet,chevrolet tracker premier 1.2 turbo 12v flex aut,28700,2023,suv,1.2,0,cinza,flex,4.0,automático,elétrica,limeira,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2023-1-2-turbo-flex-premier-automatico-1358662492
407,land rover range rover evoque si4 hse dynamic 2.0 aut. 2017 - 1359274293 | olx,169900.0,land rover,land rover range rover evoque si4 hse dynamic 2.0 aut.,22000,2017,suv,2.0 - 2.9,0,azul,gasolina,4.0,automático,elétrica,rio de janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/land-rover-evoque-dynamique-hse-blindada-2017-1359274293
408,chevrolet ltz 1.2 turbo flex 12v 4p aut. 2023 - 1361260843 | olx,129900.0,chevrolet,chevrolet ltz 1.2 turbo flex 12v 4p aut.,9000,2023,pick-up,1.2,0,prata,flex,4.0,automático,elétrica,belém,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/9-000km-montana-ltz-1-4-turbo-at-2023-chevrolet-1361260843
409,volkswagen geração vii 1.0 12v flex mec. 4p 2023 - 1355854997 | olx,56900.0,volkswagen,volkswagen geração vii 1.0 12v flex mec. 4p,39606,2023,hatch,1.0,0,branco,flex,4.0,manual,assistida,juiz de fora,https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-1-0-flex-12v-5p-2022-2023-1355854997
410,ford ka+ sedan 1.0 sel ticvt flex 4p 2015 - 1356641583 | olx,40990.0,ford,ford ka+ sedan 1.0 sel ticvt flex 4p,92200,2015,sedã,1.0,0,,flex,4.0,manual,elétrica,porto alegre,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ka-se-2015-1-0-completo-som-de-fabrica-chave-reserva-pneus-semi-novos-carro-super-inteiro-1356641583
411,nissan kicks sv 1.6 16v flexstar 5p aut. 2018 - 1354325897 | olx,79900.0,nissan,nissan kicks sv 1.6 16v flexstar 5p aut.,107867,2018,elétrica,1.6,0,vermelho,flex,4.0,automático,elétrica,brasília,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-sv-cvt-2018-1354325897
412,chevrolet spin ltz 1.8 8v econo.flex 5p aut. 2013 - 1355040968 | olx,54900.0,chevrolet,chevrolet spin ltz 1.8 8v econo.flex 5p aut.,0,2013,perua,1.8,0,cinza,flex,4.0,automático,hidráulica,sorocaba,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/spin-ltz-2013-7-lugares-1355040968
413,ford ka+ sedan 1.0 tivct flex 4p 2018 - 1357294041 | olx,39900.0,ford,ford ka+ sedan 1.0 tivct flex 4p,101,2018,sedã,1.0,1,branco,flex,4.0,manual,elétrica,rio de janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ka-sedan-completo-gnv-pneusnovos-2024ok-lindo-1357294041
414,chevrolet tracker premier 1.2 turbo 12v flex aut 2024 - 1360003399 | olx,134090.0,chevrolet,chevrolet tracker premier 1.2 turbo 12v flex aut,50828,2024,suv,1.2,0,branco,flex,4.0,automático,elétrica,ponta grossa,https://pr.olx.com.br/regiao-de-ponta-grossa-e-guarapuava/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2024-1-2-turbo-flex-premier-automatico-1360003399
415,jeep renegade long. t270 1.3 tb 4x2 flex aut. 2024 - 1359948295 | olx,129900.0,jeep,jeep renegade long. t270 1.3 tb 4x2 flex aut.,32000,2024,suv,1.3,0,preto,flex,4.0,automático,elétrica,londrina,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-longitude-1-3t270-automatico-unico-dono-1359948295
